query,ground_truth
"What is EOL, and why is it described as the ""core expression language"" that all other Epsilon languages are built on?","EOL (Epsilon Object Language) is the core expression language of Eclipse Epsilon. It provides the common expression syntax, statements, operations, collections, and model navigation facilities that are reused by other Epsilon languages such as ETL, EVL, EGL, and EGX, making it the foundation on which they are built."
What's the difference between the Elvis operator (?:) and the null-safe navigation operator (?.) in EOL? Give an example of each.,"The Elvis operator (?:) provides a default value when the left-hand expression is undefined or null, e.g. name := person.name ?: 'Unknown'. The null-safe navigation operator (?.) safely accesses a property or operation without throwing an error when the receiver is undefined, e.g. person?.manager?.name."
"What does an EOL module consist of (body, operations, imports), and how does an operation's context get defined?","An EOL module may contain imports, user-defined operations, and executable statements in the main body. Operations may be global or contextual. A contextual operation defines its context by specifying the type before the operation name (e.g. operation Person fullName())."
What is EGL used for in Epsilon?,"EGL (Epsilon Generation Language) is used for model-to-text generation. Content-destination decoupling means templates focus on producing content while the destination file is determined separately, allowing the same template to be reused for different output locations."
"What is a protected region in EGL, and what problem does it solve when regenerating code?","A protected region marks sections of generated output that are preserved across regeneration, allowing developers to keep manual edits while regenerating the remainder of the file."
How do you write an EGL template that mixes auto-generated content with hand-written code without it being overwritten on re-run?,"Use protected regions to designate sections of generated text as protected. When an EGL template is regenerated, the existing contents of protected regions are preserved instead of being overwritten."
"How does EGX differ from EGL, and why is EGX needed as a separate language?","EGL generates the content of individual files. EGX orchestrates generation by selecting templates, target files, and output locations for model elements, making large-scale multi-file generation easier."
"How does an EGX rule decide which EGL template to run for a given model element type (guards, target location)?",An EGX rule specifies the source element type and may use a guard to determine applicability. The rule identifies the EGL template and computes the target file location for each matching element.
Can you show an example of an EGX rule that generates output files to different paths depending on the element's type?,An EGX rule can use conditional logic in its target parameter (or multiple guarded rules) so different element types produce files in different directories while invoking the appropriate EGL template.
"What is EVL, and what is it used for?",EVL (Epsilon Validation Language) validates models by defining constraints over model elements. Constraints specify the target context together with validation logic and diagnostic information.
"What's the structure of a constraint in EVL (guard, check, message)?","A typical EVL constraint consists of an optional guard, a mandatory check expression, and a message describing the violation. Optional fix blocks may also be provided."
Does EVL support dependencies between constraints (e.g. having one constraint run before another)? How?,"Yes. EVL supports constraint dependencies so that one constraint can declare it depends on another, ensuring prerequisite constraints are evaluated first."
"What is ETL, and how does it support transforming many input models into many output models?",ETL (Epsilon Transformation Language) performs model-to-model transformation and supports multiple source and target models within the same transformation.
How does ETL support rule inheritance?,"ETL supports rule inheritance at two levels. At the rule level, a rule can extend one or more other rules using the ""extends"" keyword (e.g. rule TransformNode transform s : Source!Node to t : Target!Node extends TransformGraphElement { ... }). To be applicable to a given element, a rule must satisfy not only its own guard but also the guards of all the rules it extends (checked recursively). This lets shared setup logic be factored into an abstract ""super-rule"" and reused across multiple concrete rules. At the module level, an ETL module can import other ETL modules, in which case it inherits all the rules and pre/post blocks defined in the imported modules (recursively). If a local rule or pre/post block has the same name as an imported one, the local definition overrides the imported one."
"How can I create a YAML document with a mapping as the root node using the YAML EMC in EOL, and then append values to that mapping?","Use YAMLDoc.setRootAsMap() (equivalent to YAMLDoc.root.value = new MappingNode();) to set the document's root node to a mapping node. Then retrieve the root with YAMLDoc.getRoot() and call appendNode(node) on its .value to add key-value pairs into the mapping, e.g.: ```YAMLDoc.setRootAsMap(); \nvar root = YAMLDoc.getRoot();\nroot.value.appendNode(new ScalarNode(""country"", ""England""));\n root.value.appendNode(new ScalarNode(""resident"", true));``` Note: the official documentation shows the setRootAsMap()/root.value = new MappingNode() syntax in a separate section (""How do I set the root node of a YAML document?""), but its one full worked ""create from scratch"" example uses setRootAsList() as the root instead, with mapping nodes only appended as children further down. So the mapping-root pattern itself is documented, but there is no single full end-to-end example combining a mapping root with appendNode the way the list-root example does."
"How can I create programmatically the YAML document I provided as input, from scratch using the EMC YAML Driver? First, you should figure out what is the root node, either a list node and mapping node, and change the code correspondingly.\nbook:\n  title: The Quiet Harbour\n  author: Elena Marsh\n  yearPublished: 2019","The root node is a mapping node - a single top-level key (""book"") mapping to nested key-value pairs, not a list. Use YAMLDoc.setRootAsMap() to set the document's root to a mapping node, retrieve it with YAMLDoc.getRoot(), create a nested ""book"" MappingNode, populate it with ScalarNode entries via .value.appendNode(), then append ""book"" into the document root's .value, e.g.: ```YAMLDoc.setRootAsMap();\nvar root = YAMLDoc.getRoot();\nvar bookNode = new MappingNode(""book"");\nbookNode.value.appendNode(new ScalarNode(""title"", ""The Quiet Harbour""));\nbookNode.value.appendNode(new ScalarNode(""author"", ""Elena Marsh""));\nbookNode.value.appendNode(new ScalarNode(""yearPublished"", 2019));\nroot.value.appendNode(bookNode);```"
